CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41553771,RICO'S CHICKEN,QUEENS,14604,45 AVENUE,11355,7188861491,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/13/17,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,12,A,2/13/17,10/25/17,Cycle Inspection / Initial Inspection
41488494,BURGOS RESTAURANT,MANHATTAN,206,DYCKMAN STREET,10040,2125693939,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/17/17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,3/17/17,10/25/17,Cycle Inspection / Re-inspection
50036835,JENNY COFFEE SHOP,BRONX,607,E 169TH ST,10456,7186171212,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/30/17,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,A,1/30/17,10/25/17,Cycle Inspection / Initial Inspection
40814991,CHARO RESTAURANT,QUEENS,9809,37 AVENUE,11368,7188984746,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/23/17,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,37,Z,10/23/17,10/25/17,Cycle Inspection / Re-inspection
50062917,TROPILYZ,MANHATTAN,1917,7TH AVE,10026,2123160316,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/30/17,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,A,6/30/17,10/25/17,Pre-permit (Operational) / Initial Inspection
41481377,MADERA CUBAN GRILL,QUEENS,4729,VERNON BOULEVARD,11101,7186061236,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/23/17,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,2/23/17,10/25/17,Cycle Inspection / Initial Inspection
41306447,EL NUEVO POLLO'S SABROSO,BRONX,1779,WESTCHESTER AVENUE,10472,7189048989,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/25/17,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,9/25/17,10/25/17,Cycle Inspection / Re-inspection
50017349,CHIMI MUNDO AND RESTAURANT,QUEENS,9805,ATLANTIC AVE,11421,7188468636,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/18/17,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,13,A,9/18/17,10/25/17,Cycle Inspection / Re-inspection
41302692,ARMANDO'S POLLO RICO RESTAURANT,QUEENS,11002,JAMAICA AVENUE,11418,7184418441,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/26/17,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,33,C,4/26/17,10/25/17,Cycle Inspection / Re-inspection
50002580,OCHE A TU GUSTO,MANHATTAN,1573,ST. NICHOLAS AVE,10040,6469644361,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5/23/17,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,12,A,5/23/17,10/25/17,Cycle Inspection / Re-inspection
