CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41189176,PARK CAFE,MANHATTAN,861,7 AVENUE,10019,2123154567,American,8/9/17,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,22,Z,8/9/17,10/25/17,Cycle Inspection / Re-inspection
41599164,DEL FRISCO'S GRILLE,MANHATTAN,60,ROCKEFELLER PLAZA,10020,2127670371,American,2/2/17,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,2/2/17,10/25/17,Cycle Inspection / Re-inspection
41692108,RUNNER & STONE,BROOKLYN,285,3 AVENUE,11215,7185763360,American,6/21/17,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,6/21/17,10/25/17,Cycle Inspection / Initial Inspection
50033802,ONE WORLD OBSERVATORY,MANHATTAN,1,WORLD TRADE CTR,10007,2126024000,American,9/19/17,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4,A,9/19/17,10/25/17,Cycle Inspection / Initial Inspection
40393563,GUN POST LANES SNACK BAR,BRONX,1215,EAST GUN HILL ROAD,10469,7188810331,American,2/1/17,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,2/1/17,10/25/17,Cycle Inspection / Re-inspection
50000768,"BUFFALO WILD WINGS, PEETS COFFEE & TEA, BENTO SUSHI",QUEENS,NKA,JFK INTERNATIONAL AIRPORT,11430,7187514769,American,5/23/17,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,9,A,5/23/17,10/25/17,Cycle Inspection / Re-inspection
50056330,MUSCLE MAKER GRILL,MANHATTAN,10,MURRAY ST,10007,2129621813,American,2/7/17,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,A,2/7/17,10/25/17,Pre-permit (Operational) / Re-inspection
50040583,AMAZURA,QUEENS,9112,144TH PL,11435,7182986760,American,3/4/17,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,3/4/17,10/25/17,Cycle Inspection / Initial Inspection
50004838,TOMMY'S,MANHATTAN,3750,BROADWAY,10032,2123681837,American,5/10/17,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7,A,5/10/17,10/25/17,Cycle Inspection / Re-inspection
50046837,UNION STREET PUB,BROOKLYN,829,FRANKLIN AVE,11225,3477156312,American,6/10/17,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,6/10/17,10/25/17,Cycle Inspection / Initial Inspection
