CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
50066323,NEW CHINA GARDEN,BRONX,724,NEREID AVE,10466,7183246666,Chinese,8/28/17,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,21,B,8/28/17,10/25/17,Pre-permit (Operational) / Re-inspection
41631760,DONG CHUN HONG CHINESE RESTAURANT,MANHATTAN,312,5 AVENUE,10001,2122687888,Chinese,7/7/17,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,50,C,7/7/17,10/25/17,Cycle Inspection / Re-inspection
50064855,GREAT RESTAURANT,BROOKLYN,4606,8TH AVE,11220,7188538083,Chinese,8/30/17,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,48,C,8/30/17,10/25/17,Pre-permit (Operational) / Re-inspection
50039989,AUNTIE GUAN'S KITCHEN,MANHATTAN,219,E 23RD ST,10010,2126853388,Chinese,8/16/17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,8/16/17,10/25/17,Cycle Inspection / Initial Inspection
50046665,CHEF 28 LOUNGE,MANHATTAN,28,HENRY ST,10002,2122191788,Chinese,2/1/17,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,19,B,2/1/17,10/25/17,Pre-permit (Operational) / Re-inspection
41693538,NEW CHOI HEE CHINESE,STATEN ISLAND,426,BAY STREET,10304,7184478282,Chinese,3/13/17,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,3/13/17,10/25/17,Cycle Inspection / Initial Inspection
50003407,FUNG TU,MANHATTAN,22,ORCHARD ST,10002,2122198785,Chinese,1/4/17,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A,1/4/17,10/25/17,Cycle Inspection / Initial Inspection
41250031,NEW PETER'S KITCHEN,QUEENS,14909,UNION TURNPIKE,11367,7185918688,Chinese,5/16/17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,5/16/17,10/25/17,Cycle Inspection / Initial Inspection
50003531,NEW SPRING GARDEN,BRONX,2066,WALLACE AVE,10462,7188288953,Chinese,5/18/17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,B,5/18/17,10/25/17,Cycle Inspection / Re-inspection
41641200,NEW SIN LEE RESTAURANT,BROOKLYN,301,MALCOLM X BOULEVARD,11233,7187781161,Chinese,2/27/17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,2/27/17,10/25/17,Cycle Inspection / Initial Inspection
