CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
50004270,ZU RANG NY,QUEENS,4114,162ND ST,11358,7184452947,Korean,12/10/14,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12,C,12/10/14,12/1/17,Cycle Inspection / Reopening Inspection
50004674,KORI TRIBECA,MANHATTAN,253,CHURCH ST,10013,2123340908,Korean,11/5/15,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,35,C,11/5/15,12/1/17,Cycle Inspection / Re-inspection
50004270,ZU RANG NY,QUEENS,4114,162ND ST,11358,7184452947,Korean,12/10/14,Establishment re-opened by DOHMH,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,C,12/10/14,12/1/17,Cycle Inspection / Reopening Inspection
41608854,GAL BI MA EUL,QUEENS,19403,NORTHERN BOULEVARD,11358,7188192171,Korean,9/16/14,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,78,C,9/16/14,12/1/17,Cycle Inspection / Re-inspection
40560308,CARIDAD RESTAURANT,BRONX,410,EAST TREMONT AVENUE,10457,7185836462,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/8/16,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,30,C,3/8/16,12/1/17,Cycle Inspection / Re-inspection
50041083,TENZAN 89,MANHATTAN,1714,2ND AVE,10128,2123693600,Japanese,6/9/16,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,28,C,6/9/16,12/1/17,Cycle Inspection / Re-inspection
50002504,CASELLA BAGEL COFFEE SHOP,BROOKLYN,66,WILLOUGHBY ST,11201,7185225641,American,3/12/14,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,35,C,3/12/14,12/1/17,Cycle Inspection / Re-inspection
41336841,#1 SABOR LATINO RESTAURANT,BRONX,4120,WHITE PLAINS ROAD,10466,7186532222,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/15/14,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,59,C,4/15/14,12/1/17,Cycle Inspection / Re-inspection
50065169,EL POLLO INKA,QUEENS,8920,101ST AVE,11416,7187382459,Peruvian,9/1/17,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,42,C,9/1/17,12/1/17,Pre-permit (Operational) / Re-inspection
41704239,GOLDEN DRAGON RESTAURANT,BROOKLYN,4413,NEW UTRECHT AVE,11219,7188714753,Chinese,9/9/14,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,37,C,9/9/14,12/1/17,Cycle Inspection / Re-inspection
